LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,imd,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,unhealthy,healthy,alchocl
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,41.055,34.089,30.763,25.882,41.576,41.216,21.02,235.601, ,9.283819803,3.534270295,0.545734915,9.482775937,5.610093739,17.73656898,1.551183109,0.173492268, ,83.55437823,31.80843265,37.93110375,22.44037495,70.94627594,2.899399345,1.214445876, ,-0.193253032,0.285940811,0.268776725
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,48.318,44.221,29.963,40.401,41.941,43.911,24.288,273.043, ,9.822281634,3.522086239,0.509867851,10.56587512,5.403615632,18.97668272,1.66616019,0.188234918, ,88.40053471,31.69877615,42.2635005,21.61446253,75.90673088,3.148909554,1.317644427, ,0.556971122,-0.172704143,-0.255990267
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,46.333,34.355,33.214,29.92,46.557,41.357,16.574,248.31, ,9.529363337,3.871064764,0.563829835,12.46921378,4.733505763,20.35155255,1.523589462,0.253521991, ,85.76427003,34.83958288,49.8768551,18.93402305,81.40621021,2.802277717,1.774653937, ,1.391222786,-1.16644993,0.838124797
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,43.399,37.989,26.903,19.18,52.125,37.494,18.764,235.854, ,9.99362429,3.843132081,0.595638546,12.50028838,5.075604542,21.51424313,1.528330716,0.129384769, ,89.94261861,34.58818873,50.00115352,20.30241817,86.05697251,2.853025728,0.905693385, ,1.915945871,-0.198317705,0.157659376
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,37.903,32.242,27.419,34.671,32.005,40.257,21.612,226.109, ,9.418640812,3.78402264,0.587488961,10.87524209,5.114227959,19.07457804,1.524199209,0.140299834, ,84.76776731,34.05620376,43.50096838,20.45691184,76.29831217,2.821859128,0.982098837, ,0.800262877,-0.204897973,0.429905879
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,46.495,36.604,32.284,32.633,49.241,46.375,48.038,291.67, ,9.051709623,3.535059617,0.55911065,11.30504095,4.777608093,19.12600084,1.661753583,0.194554918, ,81.46538661,31.81553655,45.2201638,19.11043237,76.50400337,3.039458027,1.361884427, ,0.511193055,-1.033413102,-0.44049809
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.153,34.65,30.81,20.97,31.175,43.953,23.203,218.914, ,8.842791241,3.462150549,0.623070659,10.14803047,5.365114938,18.73688654,1.534611938,0.249321069, ,79.58512117,31.15935494,40.59212187,21.46045975,74.94754617,2.859059456,1.745247484, ,-0.269461356,0.343811163,0.287105128
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,49.447,25.291,28.815,27.066,76.161,46.096,30.543,283.419, ,9.164283472,3.58692943,0.607178098,10.09568227,5.156726458,18.46533625,1.554523061,0.156369101, ,82.47855125,32.28236487,40.38272908,20.62690583,73.86134498,2.873130759,1.094583706, ,0.1774656,0.046305045,0.158255265
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,35.465,28.36,30.929,28.846,23.382,43.317,24.592,214.891, ,9.602456427,3.863923995,0.663832326,10.81164699,5.74371494,22.90601248,1.651255827,0.162861769, ,86.42210785,34.77531595,43.24658798,22.97485976,91.62404993,3.105502884,1.140032383, ,1.334358022,1.789542685,-0.620278327
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,40.915,35.843,30.658,30.845,42.048,44.061,25.948,250.318, ,8.966570659,3.408406338,0.652047485,10.39982495,5.306441891,20.28107717,1.59850897,0.510750318, ,80.69913593,30.67565704,41.59929981,21.22576757,81.12430868,2.997955517,3.575252228, ,-0.428364265,0.602657937,0.912786375
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,48.96,36.028,47.291,31.417,64.423,51.906,15.379,295.404, ,9.636639957,3.489792557,0.56614777,10.19413818,5.12948985,19.36412927,1.650560897,0.229310925, ,86.72975962,31.40813301,40.77655271,20.5179594,77.45651709,3.059650997,1.605176475, ,0.372607899,-0.128827051,-0.06663527
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,55.578,45.31,28.159,62.755,21.053,55.796,10.864,279.515, ,8.954567528,3.41232472,0.614946416,11.02188493,5.082781082,21.10293125,1.624313018,0.234714871, ,80.59110775,30.71092248,44.08753974,20.33112433,84.41172501,3.007143832,1.643004096, ,0.399567081,-0.125778983,-0.644890267
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,19.99,18.918,18.46,19.179,57.668,63.043,17.286,214.544, ,8.932924787,3.601503502,0.575267661,10.53496879,5.232691078,19.05567144,1.63456151,0.163038265, ,80.39632308,32.41353152,42.13987515,20.93076431,76.22268575,3.079872107,1.141267856, ,0.26241596,-0.121082964,-0.438290957
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,53.273,36.744,38.748,26.044,45.444,66.381,20.252,286.886, ,8.605622712,3.34070656,0.514179041,11.46535742,4.725368225,19.86167083,1.571642759,0.128821493, ,77.45060441,30.06635904,45.86142969,18.9014729,79.44668332,2.900635016,0.901750449, ,0.360720226,-1.884378808,-0.946687728
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,20.607,21.742,12.249,15.328,74.252,27.869,25.045,197.092, ,10.11744754,4.39418072,0.463093967,16.52844763,3.907466742,18.37205031,1.327388983,0.320012887, ,91.05702782,39.54762648,66.11379052,15.62986697,73.48820124,2.441380926,2.240090212, ,2.925597263,-3.884405421,3.17585589
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,26.221,25.901,23.363,25.458,61.419,33.607,34.522,230.491, ,11.5448832,5.0741545,0.536528288,14.93283249,4.856047252,23.50387576,1.644175073,0.097605738, ,103.9039488,45.6673905,59.73132997,19.42418901,94.01550305,3.016210512,0.683240166, ,4.866199225,-0.333126388,1.272419538
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,49.27,45.579,36.895,27.647,24.598,75.178,22.087,281.254, ,10.74913587,4.365115672,0.614928947,10.65028848,5.539303834,18.99115836,1.485001231,0.212527175, ,96.74222281,39.28604105,42.60115393,22.15721534,75.96463345,2.790805353,1.487690226, ,1.702835621,1.277608334,2.263970265
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,44.578,34.312,32.779,39.637,27.821,61.151,12.446,252.724, ,9.374942263,3.429976066,0.553569704,11.06861747,5.239322906,19.81010498,1.607814403,0.08889573, ,84.37448037,30.86978459,44.27446987,20.95729162,79.2404199,2.980230947,0.622270107, ,0.687835229,-0.346291125,-0.878174511
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,29.088,23.504,22.191,23.319,34.116,41.026,21.559,194.803, ,9.653453363,3.504118799,0.595627713,10.23515669,5.53078263,18.66195457,1.61662787,0.233622354, ,86.88108027,31.53706919,40.94062675,22.12313052,74.64781827,3.047407288,1.635356475, ,0.200104552,0.722936533,0.201314437
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,20.495,16.302,18.194,13.216,35.725,24.08,30.837,158.849, ,8.361765729,3.337660315,0.442892052,12.91879991,4.536740774,19.19233422,1.671808076,0.132012649, ,75.25589156,30.03894283,51.67519964,18.1469631,76.76933687,3.057620992,0.924088543, ,0.572090851,-2.946318287,-1.499240399
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,21.259,29.766,19,9.902,9.745,24.524,16.236,130.432, ,9.138765501,3.465295707,0.644664654,10.60245628,5.660096184,19.03668521,1.569248808,0.177790942, ,82.24888951,31.18766137,42.40982512,22.64038474,76.14674086,2.906732909,1.244536594, ,0.108855891,1.091807414,-0.194280908
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,20.6,21.834,18.08,15.209,17.797,22.634,14.23,130.384, ,9.465704487,3.728495761,0.554390683,12.31034581,5.323047537,21.46716776,1.691847194,0.13440321, ,85.19134038,33.55646185,49.24138325,21.29219015,85.86867105,3.109974278,0.940822473, ,1.47437276,-0.103395109,-1.018671655
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.926,18.042,22.109,19.658,29.902,48.597,14.227,175.461, ,9.133446244,3.519112123,0.56498574,11.47498657,5.341755923,20.08110624,1.61673027,0.178527313, ,82.2010162,31.67200911,45.89994627,21.36702369,80.32442497,2.896822505,1.249691192, ,0.60644357,-0.160586733,-0.583902471
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,42.809,38.622,27.19,19.956,37.731,44.583,25.493,236.384, ,8.727874537,3.44811877,0.610883476,10.1280735,5.416764623,19.51794235,1.515077181,0.32778412, ,78.55087083,31.03306893,40.51229398,21.66705849,78.07176942,2.786651249,2.294488841, ,-0.393861652,0.24831768,0.509162103
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.025,29.51,37.796,25.431,49.235,52.366,28.871,256.234, ,9.242089477,3.653257693,0.651053577,10.16875769,5.304245921,19.61034128,1.506057156,0.230279953, ,83.1788053,32.87931924,40.67503077,21.21698368,78.44136514,2.807312577,1.611959671, ,0.273859228,0.64528733,0.63607743
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,59.541,51.429,33.405,25.19,29.984,65.316,23.186,288.051, ,9.022450875,3.691166834,0.63508134,11.04164551,5.090884615,19.65782081,1.546029302,0.161259045, ,81.20205787,33.22050151,44.16658205,20.36353846,78.63128323,2.839350569,1.128813316, ,0.60802987,0.05992163,0.052646243
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,37.36,29.829,32.177,24.08,50.785,41.088,26.796,242.115, ,8.922486344,3.623720035,0.671716525,10.38553506,5.274800976,19.00358558,1.566566138,0.164062578, ,80.30237709,32.61348032,41.54214022,21.0992039,76.01434231,2.945240418,1.148438044, ,0.197521307,0.748577618,-0.01033002
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,29.776,20.056,22.451,13.885,82.146,40.158,38.474,246.946, ,9.041590851,3.573563251,0.664865293,10.06244219,5.328335773,18.29934554,1.485357309,0.317410603, ,81.37431766,32.16206926,40.24976874,21.31334309,73.19738214,2.760896852,2.221874218, ,-0.280297822,0.698402331,1.185831976
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,43.127,29.842,26.912,22.497,69.881,44.482,44.863,281.604, ,9.336393469,3.708493386,0.665930227,10.28974194,5.55113215,18.93551798,1.578086221,0.20039834, ,84.02754122,33.37644047,41.15896777,22.2045286,75.74207192,2.948445593,1.402788381, ,0.326520981,1.311949269,0.356017953
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,36.405,29.07,31.35,20.702,23.214,51.932,25.066,217.739, ,8.675285175,3.374012988,0.570263953,10.60561661,4.976184217,17.478711,1.474567658,0.172808796, ,78.07756657,30.3661169,42.42246644,19.90473687,69.91484398,2.764973868,1.209661573, ,-0.284528494,-0.99042519,0.256689707
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,70.113,54.667,25.733,39.177,22.788,89.433,21.538,323.449, ,7.867327323,2.836892638,0.515751732,9.805244902,4.999830006,18.77814338,1.565254776,0.267068306, ,70.80594591,25.53203374,39.22097961,19.99932003,75.11257351,2.912133076,1.869478143, ,-1.35710345,-1.628647641,-1.024841923
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,51.019,34.42,28.661,27.781,38.988,92.306,24.9,298.075, ,9.478817667,3.643585599,0.581458152,11.2648302,5.406194043,20.78755873,1.596366564,0.133897743, ,85.309359,32.79227039,45.0593208,21.62477617,83.15023494,2.907241405,0.937284204, ,1.001796638,0.236555731,-0.490813335
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,32.522,26.528,25.71,29.872,61.072,53.999,45.609,275.312, ,8.72610792,3.509178416,0.593515926,9.467622132,5.221344676,18.26644687,1.613811155,0.269049315, ,78.53497128,31.58260574,37.87048853,20.8853787,73.0657875,3.027026399,1.883345207, ,-0.500321233,0.038411934,0.159979664
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,56.422,40.505,29.703,29.036,30.459,81.756,27.147,295.028, ,8.681673421,3.292390015,0.614031278,10.9504047,4.943703377,20.564651,1.55831816,0.120191534, ,78.13506079,29.63151013,43.8016188,19.77481351,82.25860401,2.85269114,0.841340738, ,0.280040199,-0.568676619,-1.015482369
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,34.809,24.92,28.531,21.443,40.837,50.361,31.466,232.367, ,8.597457346,3.379613696,0.610077641,9.794462648,5.145160539,17.7966445,1.514465212,0.272875413, ,77.37711611,30.41652326,39.17785059,20.58064216,71.186578,2.804425663,1.910127894, ,-0.68732465,-0.211879433,0.498095788
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,46.287,35.653,29.097,40.776,70.054,53.036,29.905,304.808, ,8.962040007,3.442277236,0.587985245,10.08179947,5.096000992,17.89538767,1.48138618,0.140994999, ,80.65836006,30.98049512,40.32719788,20.38400397,71.58155067,2.810226484,0.986964994, ,-0.118103804,-0.449201567,0.245537225
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,36.428,25.971,26.892,20.95,68.686,40.497,22.934,242.358, ,10.2672111,3.829111267,0.61378275,11.20068719,5.644023793,21.14062188,1.602327035,0.11219782, ,92.40489993,34.4620014,44.80274878,22.57609517,84.56248752,2.959111733,0.785384739, ,1.587862309,1.22428613,-0.10769109
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,35.965,30.211,31.169,14.014,57.745,44.244,22.795,236.143, ,9.791983568,3.680805667,0.692185341,9.526243293,5.456317907,19.07436242,1.570702549,0.245436359, ,88.12785211,33.12725101,38.10497317,21.82527163,76.2974497,2.914275654,1.71805451, ,0.291141811,1.616819293,0.825237586
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,46.422,39.105,26.325,39.253,63.95,66.668,23.139,304.862, ,8.485610024,3.299496696,0.61360793,9.904381208,5.38455408,18.31988091,1.598274553,0.233134451, ,76.37049022,29.69547026,39.61752483,21.53821632,73.27952365,2.984169338,1.631941159, ,-0.67614675,0.255586457,-0.373889715
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,43.303,38.378,33.539,25.586,76.199,45.216,27.287,289.508, ,9.173007387,3.520282467,0.670073163,10.65089085,5.258368667,20.47229226,1.636020894,0.238822463, ,82.55706649,31.6825422,42.6035634,21.03347467,81.88916903,3.069786248,1.671757242, ,0.382014462,0.823112498,-0.295815732
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,37.244,30.737,26.061,18.959,36.686,48.324,25.113,223.124, ,9.568466476,3.804589195,0.657590155,10.76505252,5.167159928,19.44650698,1.546050805,0.239978482, ,86.11619828,34.24130275,43.06021009,20.66863971,77.78602791,2.885878354,1.679849371, ,0.725993671,0.621224522,0.86230045
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,43.046,39.839,27.35,19.847,68.025,47.329,27.181,272.617, ,8.434522501,3.198943068,0.605352997,9.958375427,5.043164027,19.53532896,1.633615433,0.253062276, ,75.9107025,28.79048762,39.83350171,20.17265611,78.14131584,3.065054071,1.771435931, ,-0.564645429,-0.355814955,-0.761530767
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,45.684,38.17,23.088,32.955,78.641,57.916,18.897,295.351, ,9.52760797,3.659402262,0.535040416,11.39311147,5.272879914,20.4780937,1.554281099,0.220365581, ,85.74847173,32.93462036,45.57244588,21.09151966,81.9123748,2.832633279,1.542559067, ,0.894078199,-0.464645463,0.181085446
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,79.567,57.049,43.99,43.6,39.048,96.812,14.759,374.825, ,9.357415745,3.569223392,0.612705941,11.52621686,5.255021979,21.23674171,1.657333156,0.108468436, ,84.21674171,32.12301052,46.10486746,21.02008792,84.94696683,3.134034901,0.759279053, ,1.092221746,0.286257393,-1.085242008
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,33.643,25.021,32.462,19.751,59.403,43.554,15.596,229.43, ,9.472918554,3.413605316,0.657738923,10.73383622,5.570150716,20.76023313,1.635163709,0.2223806, ,85.25626698,30.72244784,42.93534487,22.28060287,83.04093251,3.022855446,1.556664199, ,0.454562565,1.241800807,-0.507059141
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,38.076,33.802,36.011,22.538,50.306,41.563,23.294,245.59, ,8.943140155,3.485676698,0.605822979,10.76610576,4.966120378,18.88876096,1.508435082,0.214637537, ,80.48826139,31.37109028,43.06442304,19.86448151,75.55504385,2.827067928,1.502462762, ,0.12244867,-0.525995726,0.322764838
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,38.677,32.321,31.185,37.91,23.618,51.152,32.013,246.876, ,8.903436119,3.396838152,0.587331052,12.11006411,5.22884827,21.08590786,1.478227175,0.125227549, ,80.13092507,30.57154336,48.44025646,20.91539308,84.34363145,2.739751935,0.876592841, ,0.759871248,-0.537839254,-0.635834757
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,42.858,40.353,28.825,48.466,36.953,51.133,24.774,273.362, ,8.814384654,3.373385536,0.590417626,10.78584238,5.20483432,20.04609424,1.512291168,0.393724071, ,79.32946189,30.36046982,43.14336954,20.81933728,80.18437697,2.812645836,2.7560685, ,-0.256134588,-0.363671873,0.650942071
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,22.577,22.812,19.839,19.549,25.219,54.319,13.929,178.244, ,9.346076423,3.709068761,0.633420022,11.05529732,5.141889189,19.91933066,1.543655587,0.181281213, ,84.11468781,33.38161885,44.22118929,20.56755676,79.67732265,2.788703386,1.268968489, ,0.777644132,0.221875413,0.261762009
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,24.08,15.652,16.79,11.845,31.624,40.683,15.719,156.393, ,9.206337404,3.644059188,0.644998288,11.10812052,5.100733213,20.46840312,1.595067692,0.176299399, ,82.85703664,32.79653269,44.43248207,20.40293285,81.87361249,2.946670522,1.23409579, ,0.767496355,0.274753076,-0.231492692
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,23.497,16.688,14.217,16.403,59.968,57.941,19.893,208.607, ,9.082504221,3.655297718,0.599831699,10.03952901,5.198665939,18.5750524,1.560852947,0.336350212, ,81.74253799,32.89767946,40.15811604,20.79466376,74.30020962,2.903941551,2.354451485, ,-0.132128187,0.058909151,0.979270117
