LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,IMD,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,FAC1_1,FAC2_1,FAC3_1
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,40.915,35.843,30.658,30.845,42.048,44.061,25.948,250.318, ,8.96657065853611,3.4084063376259,.652047484550658,10.3998249530396,5.3064418914872,20.2810771703904,1.59850897013586,.510750318242453, ,80.699135926818,30.6756570386322,41.5992998121586,21.2257675659488,81.1243086815618,2.99795551683779,3.57525222769717, ,-.428364265012228,.602657937181419,.912786375091317
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,48.96,36.028,47.291,31.417,64.423,51.906,15.379,295.404, ,9.63663995726513,3.48979255697993,.566147769764977,10.1941381766382,5.12948985042735,19.3641292735045,1.65056089743586,.229310925035612, ,86.7297596153851,31.4081330128202,40.7765527065531,20.5179594017094,77.456517094018,3.05965099715094,1.60517647524929, ,.372607899288933,-.128827051076061,-.0666352704770033
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,55.578,45.31,28.159,62.755,21.053,55.796,10.864,279.515, ,8.95456752803511,3.41232471964882,.614946416382271,11.0218849341786,5.08278108239882,21.1029312530471,1.62431301803999,.234714870794733, ,80.5911077523174,30.7109224768405,44.0875397367144,20.3311243295952,84.4117250121887,3.00714383227695,1.64300409556314, ,.39956708074664,-.125778982931634,-.644890266843998
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,19.99,18.918,18.46,19.179,57.668,63.043,17.286,214.544, ,8.93292478684549,3.60150350182688,.575267661388573,10.5349687880635,5.23269107795375,19.0556714372718,1.63456151035322,.163038265073081, ,80.3963230816093,32.413531516445,42.1398751522542,20.930764311815,76.2226857490872,3.07987210718634,1.14126785551157, ,.262415960393876,-.121082964242359,-.43829095699407
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,53.273,36.744,38.748,26.044,45.444,66.381,20.252,286.886, ,8.60562271172225,3.34070656023027,.514179041474137,11.4653574215236,4.7253682251966,19.861670830082,1.57164275853788,.12882149270752, ,77.4506044054982,30.0663590420763,45.8614296860946,18.9014729007864,79.4466833203282,2.90063501590538,.901750448952645, ,.360720225767399,-1.88437880805252,-.946687728076708
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,20.607,21.742,12.249,15.328,74.252,27.869,25.045,197.092, ,10.1174475360697,4.3941807195056,.463093966647953,16.528447629754,3.90746674161511,18.3720503091621,1.32738898257447,.320012887389919, ,91.0570278246182,39.547626475549,66.1137905190162,15.6298669664604,73.4882012366487,2.44138092561364,2.24009021172944, ,2.9255972632086,-3.88440542137108,3.17585588980898
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,26.221,25.901,23.363,25.458,61.419,33.607,34.522,230.491, ,11.5448831961775,5.07415449960179,.53652828842583,14.9328324927,4.85604725245558,23.5038757632068,1.64417507300236,.0976057379877886, ,103.903948765596,45.6673904964182,59.7313299708,19.4241890098223,94.0155030528273,3.016210512344,.683240165914523, ,4.8661992250865,-.333126387873603,1.27241953816309
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,49.27,45.579,36.895,27.647,24.598,75.178,22.087,281.254, ,10.7491358673345,4.36511567194799,.614928946720321,10.6502884820623,5.53930383383959,18.9911583613826,1.48500123142598,.212527175108776, ,96.7422228060105,39.2860410475345,42.6011539282495,22.1572153353583,75.9646334455305,2.7908053525983,1.48769022576143, ,1.70283562145946,1.27760833420437,2.26397026503648
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,44.578,34.312,32.779,39.637,27.821,61.151,12.446,252.724, ,9.37494226327949,3.42997606550476,.553569703968099,11.0686174679823,5.2393229057317,19.8101049758556,1.60781440268737,.0888957295821963, ,84.3744803695163,30.8697845895442,44.2744698719295,20.9572916229268,79.2404199034225,2.98023094688219,.622270107075371, ,.687835228758032,-.34629112491017,-.878174510709822
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,29.088,23.504,22.191,23.319,34.116,41.026,21.559,194.803, ,9.65345336330087,3.50411879916508,.595627713116095,10.2351566864667,5.53078262963559,18.6619545673463,1.61662786964197,.233622353507785, ,86.881080269707,31.5370691924871,40.940626745867,22.1231305185423,74.6478182693853,3.04740728848926,1.6353564745545, ,.200104552051017,.722936532506858,.201314437381158
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,20.495,16.302,18.194,13.216,35.725,24.08,30.837,158.849, ,8.36176572897743,3.33766031457942,.442892052329103,12.9187999092563,4.53674077434972,19.1923342180889,1.67180807622505,.132012648971566, ,75.2558915607999,30.0389428312163,51.6751996370255,18.1469630973988,76.7693368723558,3.05762099213556,.92408854280097, ,.572090850869366,-2.94631828714777,-1.49924039854258
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,21.259,29.766,19,9.902,9.745,24.524,16.236,130.432, ,9.13876550079488,3.46529570747205,.644664654213064,10.6024562798094,5.66009618441977,19.0366852146263,1.56924880763114,.177790941971383, ,82.2488895071568,31.1876613672501,42.4098251192376,22.640384737679,76.1467408585055,2.90673290937992,1.24453659379968, ,.108855891306529,1.09180741398994,-.194280907978485
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,20.6,21.834,18.08,15.209,17.797,22.634,14.23,130.384, ,9.46570448699637,3.72849576069343,.55439068305232,12.3103458130895,5.32304753739168,21.4671677622179,1.69184719443649,.134403210441078, ,85.1913403829685,33.5564618462414,49.241383252358,21.2921901495667,85.8686710488716,3.10997427836523,.94082247308755, ,1.47437276003298,-.103395108567062,-1.01867165520654
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.926,18.042,22.109,19.658,29.902,48.597,14.227,175.461, ,9.13344624430747,3.51911212313348,.564985739609191,11.474986568283,5.34175592321446,20.0811062431543,1.61673027036375,.178527313080071, ,82.2010161987673,31.672009108205,45.899946273132,21.3670236928578,80.3244249726172,2.89682250533232,1.2496911915605, ,.606443570062419,-.160586732673745,-.583902470715513
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,42.809,38.622,27.19,19.956,37.731,44.583,25.493,236.384, ,8.72787453701066,3.44811876962473,.610883476225307,10.1280734954027,5.41676462293427,19.5179423543345,1.51507718051407,.327784120179748, ,78.550870833093,31.0330689266164,40.512293981611,21.667058491737,78.0717694173382,2.78665124936552,2.29448884125819, ,-.393861651655371,.248317680020814,.509162103050784
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.025,29.51,37.796,25.431,49.235,52.366,28.871,256.234, ,9.24208947748884,3.65325769310257,.651053577034279,10.1687576931021,5.30424592110684,19.6103412845921,1.50605715613382,.230279953015282, ,83.1788052973927,32.8793192379203,40.6750307724086,21.2169836844273,78.4413651383685,2.80731257744736,1.61195967110698, ,.273859228081549,.64528732962367,.636077429631921
