LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,V12,weight,volume,V15,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V24,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V32,energy_tot,representativeness_norm,man_day,population,avg_age,out_fat,out_sat,out_salt,out_sug,out_pro,out_car,out_fib,out_alc,Zfat,Zsaturate,Zsalt,Zsugar,Zprotein,Zcarb,Zfibre,Zalcohol,FAC1_1,FAC2_1,FAC3_1,FAC4_1,Income,Employment,Education_Training,Health_Disability,Crime,Housing_Services,Living_Environment,SES,FAC2_2
E01000001,City of London 001A,E09000001,City of London,.022,.089,.003,.304,.338,28.866,35.272, ,308.11904684384,97.2186003193075, ,8.53514892844076,3.49874931243919,.529091763530529,9.2137343677011,5.26242890872336,15.1580137252886,1.62265269057124,.339168287582389, ,76.8163403559823,31.4887438119315,36.8549374708044,21.0497156348934,60.6320549011545,3.11303772507897,2.37417801307657, ,163.985326630194,.284288112466414,16033,1296,48.29398148,0,1,1,0,1,1,1,1,-1.41127438699456,-.0902170566134696,-1.48859351653565,-1.07065786935637,-.18550851448654,-2.36094035264273,.111886519195926,1.81598342458374,-1.68743666974313,-.867866142907069,1.96876736038424,-.464433818876849,-1.61110567662483,-1.48346841879018,-1.32035506489875,-1.37288228734551,-1.85743829374794,-.435774033558254,.133489746787416,-1.57746296226887,-.00952500253157162
E01000005,City of London 001E,E09000001,City of London,33.709,27.489,14.325,17.099,3.779,46.479,35.692, ,356.033437036113,113.968805363668, ,8.33905794065572,3.31949647797885,.561715753838627,9.60325760226759,5.23025413779682,17.1264874772692,1.61286152482679,.255560423793203, ,75.0515214659203,29.8754683018276,38.4130304090703,20.9210165511872,68.505949909077,3.07189912755231,1.78892296655227, ,169.339310020254,.412035836790827,25128,1121,35.61195361,0,1,1,0,1,1,1,1,-2.04438829760667,-1.24652275718812,-.652889182487131,-.568264199158607,-.331863223968722,-.812677569843734,-.0262654046573055,.420519974572612,-1.17357179815777,-1.44499922184461,-.0691166266031983,.15896506667647,.342761845162307,.414576374812486,.0467304407752219,-.0581874261188365,-1.68393017105844,.42652395153389,.157074922330004,.0249296888927042,-.690420402737478
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,18.916,14.954,13.833,9.285,38.356,58.401,30.41, ,451.262062530738,133.322096642097, ,9.62210094063291,3.86400661105761,.558866101251212,11.3551145177027,5.0262951459757,19.9030630490728,1.64022650634486,.138524686085721, ,86.5989084656964,34.7760594995099,45.420458070811,20.1051805839028,79.6122521962913,3.02400124234634,.969672802600051, ,190.310015290841,.165697600350299,5860,2040,32.08039216,0,1,1,0,1,1,1,1,2.0981395175397,2.26594706118417,-.72588659927597,1.69122059482623,-1.25961991452639,1.37118117713067,.359850502437048,-1.53287396367802,2.50391426606092,.489376937720786,.940550632717528,.35253182998117,-.515241605717768,-.453744482406834,-.00023269766854227,-.669859093021203,.0595718220351459,1.01020172240021,-.139536737707969,-.175964137894255,-.0947327102446156
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,34.068,25.023,12.252,28.742,57.182,64.366,35.247, ,483.650450969104,127.327270981371, ,9.56189832210797,3.71430060262365,.560182619933839,10.866330851944,4.97909665603202,19.5358137008153,1.55696472881959,.182740271180432, ,86.0570848989674,33.4287054236115,43.4653234077763,19.9163866241281,78.1432548032613,2.89775906888814,1.27918189826302, ,188.293667293505,.158430941088429,4458,1775,34.31887324,0,1,1,0,1,1,1,1,1.90376487710392,1.30023897916908,-.692162325864386,1.06080423456335,-1.47431363525175,1.08232871092827,-.814961062271261,-.794890356345303,1.90527189155151,-.020866192368758,.694019043234787,-.750377277188768,.363584074518485,.243752343388247,-.151144734009175,.853214316617822,1.00884933373309,1.30223643999941,.132085867290834,.676227448628611,.494910548670793
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,30.132,10.775,12.582,19.049,55.757,91.295,40.473, ,425.420573671323,121.434588275743, ,9.30574394608405,3.55579865210365,.647929166163109,10.5425150360208,5.19585452010225,18.9330883104803,1.5721854520102,.241237222867765, ,83.7516955147526,32.0021878689294,42.1700601440832,20.783418080409,75.7323532419213,2.91301138740415,1.68866056007436, ,184.869138784564,.15467495713729,7493,3195,27.98247261,0,1,1,0,1,1,1,1,1.07672585528671,.277790940953951,1.5555752528029,.643157732909114,-.488338185841222,.608267378302045,-.600198872956655,.181457493213059,.70551870008402,.696304995430094,-.648001056192387,-.920312708001159,.1352935599059,-.743230949285138,-.119645067979821,.094456514303433,.936995490422265,2.62062753978629,.425552837256462,.497279559165508,.654576120094008
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,42.186,22.584,20.384,13.775,45.599,95.238,49.758, ,457.186990828862,130.241715461307, ,9.23743553778586,3.60652954927843,.604553491293588,10.74109724498,4.9925201546829,19.319872526271,1.57014922112259,.165637616394659, ,83.1369198400689,32.458765943503,42.9643889799201,19.9700806187316,77.2794901050843,2.89630683183679,1.15946331476261, ,184.44226071049,.171411480082021,5446,2023,27.4147306,0,1,1,0,1,1,1,1,.85618026064284,.605040581245931,.444453065161126,.899282235741464,-1.41325361248517,.912484595158658,-.628929794470485,-1.08034352510323,1.37272807851144,-.173315631928883,-.385393696306696,-.508676058217175,.834433260906943,.0747986480744914,.625083399780848,-.318386635330951,.424791041052898,2.81366909745496,.946953682287243,.897758711932379,.372379535744131
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,39.754,38.134,30.506,33.874,76.834,44.99,29.925, ,428.131802759556,101.41781285231, ,9.13107873624438,3.40487284345034,.596131203407921,9.9201330493433,5.23557543485975,18.8219297124602,1.57331984380545,.226762779552716, ,82.1797086261989,30.6438555910549,39.6805321973732,20.942301739439,75.2877188498411,2.97807028753991,1.58733945686901, ,182.975138959887,.0644720286471075,1733,1747,35.17801946,0,1,1,0,1,1,1,1,.512788800868368,-.695785702534342,.228705622184812,-.159569146528188,-.307658020224098,.520837855744544,-.584192769801273,-.0601293108265549,.172432163192382,-.164487955767026,-.521787282469686,-.368703309137143,.693375707162581,1.1519737042979,1.59126406508122,1.25494185623171,1.99977686267647,.353625427727486,-.166771999941672,1.31939823184195,.0805549748792423
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,48.626,35.777,28.289,28.329,32.799,74.569,27.091, ,359.898044403542,112.248820326678, ,9.12274940262852,3.30425940860202,.572149044205537,10.0951926523298,5.47358945639193,19.5075074671446,1.74694743130226,.190658132467144, ,82.1047446236565,29.7383346774198,40.3807706093195,21.8943578255677,78.0300298685785,3.17433094384706,1.33460692727001, ,186.538070188915,.0768293860817296,2719,2372,30.8237773999999,0,1,1,0,1,1,1,1,.485896096425924,-1.34481247312774,-.385627394592075,.0662167081863083,.775006190612389,1.06006502157531,1.86566722366029,-.662736686497637,.141958196245749,.0900112477293511,-.564733353118285,2.40467975559631,1.2079573752629,.988700289023394,1.37964358148401,.820885112825823,-.220632955002221,1.80175533751233,-.325915779674276,1.21923168645005,-1.01698409596771
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,41.055,34.089,30.763,25.882,41.576,41.216,21.02, ,427.77756856931,111.361317567567, ,9.28381980342186,3.53427029486701,.545734915362227,9.48277593738619,5.61009373862403,17.7365689843467,1.55118310884599,.173492267928649, ,83.554378230798,31.8084326538038,37.9311037495447,22.4403749544961,70.9462759373869,2.89939934473969,1.21444587550054, ,181.054874342919,.0811176411866282,1688,1750,34.076,0,1,1,0,1,1,1,1,1.00593994179591,.138918034025153,-1.062258356838,-.72365730652656,1.39592885746728,-.332830433994639,-.896538878763017,-.949244862471514,-.032931067527338,.525670114583304,.119586087514919,-.222377828810629,.768834538339149,.871769646264222,1.61579562317075,.629336537331827,.221936296042762,.168857779073778,-.666833876624397,.836070878746331,-1.0290173122567
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,37.903,32.242,27.419,34.671,32.005,40.257,21.612, ,413.004799854273,132.956845165981, ,9.41864081217066,3.78402264015384,.587488961128429,10.8752420939147,5.11422795879233,19.0745780426445,1.52419920939145,.140299833792524, ,84.7677673095318,34.0562037613822,43.500968375659,20.4569118351693,76.2983121705781,2.8218591279348,.982098836547678, ,185.326949279751,.126694868227284,3987,1947,35.32460195,0,1,1,0,1,1,1,1,1.44123305264093,1.74999470936187,.00732377218235918,1.07229764795284,-.859636296830672,.719553234279355,-1.27727777339565,-1.50324572500587,1.77759886065673,.369969799071902,.0457365582986554,-1.08823210163553,.586016524604681,.743824801965532,1.29659900740662,1.31733017444533,-.260669412257515,.121907017266967,-.633590010145321,.773145537469723,-.994729257730326
